Date,Dish,Category,Orders,Price,Revenue,Cost,Profit,Day_of_Week,Rating
2024-01-05,Lassi,Bread/Dessert/Beverage,69,90,6210,2070,4140,Friday,3.9
2024-01-05,Samosa,Bread/Dessert/Beverage,48,60,2880,912,1968,Friday,4.0
2024-01-05,Chole Bhature,Main Course,96,160,15360,6336,9024,Friday,4.3
2024-01-06,Butter Chicken,Main Course,76,320,24320,8056,16264,Saturday,4.8
2024-01-06,Paneer Tikka,Main Course,115,280,32200,13915,18285,Saturday,4.8
2024-01-06,Biryani,Main Course,89,350,31150,10502,20648,Saturday,4.2
2024-01-06,Dal Makhani,Main Course,60,220,13200,5940,7260,Saturday,4.7
2024-01-06,Tandoori Roti,Bread/Dessert/Beverage,84,40,3360,1008,2352,Saturday,3.6
2024-01-06,Naan,Bread/Dessert/Beverage,23,50,1150,414,736,Saturday,4.9
2024-01-06,Gulab Jamun,Bread/Dessert/Beverage,10,80,800,300,500,Saturday,4.2
2024-01-06,Lassi,Bread/Dessert/Beverage,75,90,6750,2100,4650,Saturday,4.5
2024-01-06,Samosa,Bread/Dessert/Beverage,94,60,5640,2350,3290,Saturday,4.1
2024-01-06,Chole Bhature,Main Course,117,160,18720,7839,10881,Saturday,4.9
2024-01-07,Butter Chicken,Main Course,117,320,37440,12402,25038,Sunday,4.3
2024-01-07,Paneer Tikka,Main Course,57,280,15960,5472,10488,Sunday,4.7
2024-01-07,Biryani,Main Course,81,350,28350,10935,17415,Sunday,4.5
2024-01-07,Dal Makhani,Main Course,92,220,20240,8464,11776,Sunday,4.1
2024-01-07,Tandoori Roti,Bread/Dessert/Beverage,86,40,3440,1462,1978,Sunday,4.3
2024-01-07,Naan,Bread/Dessert/Beverage,87,50,4350,1392,2958,Sunday,4.5
2024-01-07,Gulab Jamun,Bread/Dessert/Beverage,46,80,3680,1564,2116,Sunday,4.0
2024-01-07,Lassi,Bread/Dessert/Beverage,48,90,4320,1872,2448,Sunday,4.9
2024-01-07,Samosa,Bread/Dessert/Beverage,97,60,5820,1940,3880,Sunday,5.0
2024-01-07,Chole Bhature,Main Course,23,160,3680,1173,2507,Sunday,3.8
2024-01-08,Butter Chicken,Main Course,71,320,22720,7455,15265,Monday,4.8
2024-01-08,Paneer Tikka,Main Course,18,280,5040,1998,3042,Monday,3.7
2024-01-08,Biryani,Main Course,53,350,18550,6784,11766,Monday,4.4
2024-01-08,Dal Makhani,Main Course,45,220,9900,3105,6795,Monday,4.8
2024-01-08,Tandoori Roti,Bread/Dessert/Beverage,91,40,3640,1547,2093,Monday,4.3
2024-01-08,Naan,Bread/Dessert/Beverage,51,50,2550,1122,1428,Monday,4.1
2024-01-08,Gulab Jamun,Bread/Dessert/Beverage,120,80,9600,4320,5280,Monday,4.5
2024-01-08,Lassi,Bread/Dessert/Beverage,45,90,4050,1620,2430,Monday,3.7
2024-01-08,Samosa,Bread/Dessert/Beverage,43,60,2580,1118,1462,Monday,4.1
2024-01-08,Chole Bhature,Main Course,93,160,14880,4836,10044,Monday,3.5
2024-01-09,Butter Chicken,Main Course,101,320,32320,12423,19897,Tuesday,4.3
2024-01-09,Paneer Tikka,Main Course,93,280,26040,10602,15438,Tuesday,4.8
2024-01-09,Biryani,Main Course,48,350,16800,5232,11568,Tuesday,4.6
2024-01-09,Dal Makhani,Main Course,34,220,7480,2448,5032,Tuesday,4.8
2024-01-09,Tandoori Roti,Bread/Dessert/Beverage,29,40,1160,493,667,Tuesday,4.3
2024-01-09,Naan,Bread/Dessert/Beverage,76,50,3800,1520,2280,Tuesday,4.0
2024-01-09,Gulab Jamun,Bread/Dessert/Beverage,107,80,8560,3210,5350,Tuesday,4.7
2024-01-09,Lassi,Bread/Dessert/Beverage,40,90,3600,1320,2280,Tuesday,4.0
2024-01-09,Samosa,Bread/Dessert/Beverage,17,60,1020,374,646,Tuesday,4.7
2024-01-09,Chole Bhature,Main Course,113,160,18080,6328,11752,Tuesday,3.8
2024-01-10,Butter Chicken,Main Course,119,320,38080,15470,22610,Wednesday,4.7
2024-01-10,Paneer Tikka,Main Course,112,280,31360,9856,21504,Wednesday,3.9
2024-01-10,Biryani,Main Course,113,350,39550,12656,26894,Wednesday,4.0
2024-01-10,Dal Makhani,Main Course,86,220,18920,6966,11954,Wednesday,4.6
2024-01-10,Tandoori Roti,Bread/Dessert/Beverage,61,40,2440,976,1464,Wednesday,4.4
2024-01-10,Naan,Bread/Dessert/Beverage,94,50,4700,1692,3008,Wednesday,4.8
2024-01-10,Gulab Jamun,Bread/Dessert/Beverage,50,80,4000,1500,2500,Wednesday,5.0
2024-01-10,Lassi,Bread/Dessert/Beverage,97,90,8730,3492,5238,Wednesday,3.7
2024-01-10,Samosa,Bread/Dessert/Beverage,27,60,1620,648,972,Wednesday,4.0
2024-01-10,Chole Bhature,Main Course,102,160,16320,6528,9792,Wednesday,3.6
2024-01-11,Butter Chicken,Main Course,13,320,4160,1352,2808,Thursday,4.8
2024-01-11,Paneer Tikka,Main Course,93,280,26040,8742,17298,Thursday,4.8
2024-01-11,Biryani,Main Course,73,350,25550,8760,16790,Thursday,4.5
2024-01-11,Dal Makhani,Main Course,47,220,10340,4183,6157,Thursday,4.3
2024-01-11,Tandoori Roti,Bread/Dessert/Beverage,43,40,1720,602,1118,Thursday,3.8
2024-01-11,Naan,Bread/Dessert/Beverage,63,50,3150,945,2205,Thursday,4.0
2024-01-11,Gulab Jamun,Bread/Dessert/Beverage,61,80,4880,1952,2928,Thursday,4.9
2024-01-11,Lassi,Bread/Dessert/Beverage,59,90,5310,2301,3009,Thursday,4.6
2024-01-11,Samosa,Bread/Dessert/Beverage,104,60,6240,2600,3640,Thursday,4.5
2024-01-11,Chole Bhature,Main Course,14,160,2240,756,1484,Thursday,4.9
2024-01-12,Butter Chicken,Main Course,84,320,26880,10752,16128,Friday,4.3
2024-01-12,Paneer Tikka,Main Course,100,280,28000,8900,19100,Friday,4.2
2024-01-12,Biryani,Main Course,83,350,29050,10707,18343,Friday,4.8
2024-01-12,Dal Makhani,Main Course,114,220,25080,9576,15504,Friday,4.1
2024-01-12,Tandoori Roti,Bread/Dessert/Beverage,34,40,1360,612,748,Friday,3.7
2024-01-12,Naan,Bread/Dessert/Beverage,53,50,2650,954,1696,Friday,3.6
2024-01-12,Gulab Jamun,Bread/Dessert/Beverage,102,80,8160,3366,4794,Friday,4.9
2024-01-12,Lassi,Bread/Dessert/Beverage,101,90,9090,3131,5959,Friday,4.8
2024-01-12,Samosa,Bread/Dessert/Beverage,38,60,2280,798,1482,Friday,4.9
2024-01-12,Chole Bhature,Main Course,97,160,15520,6402,9118,Friday,4.7
2024-01-13,Butter Chicken,Main Course,78,320,24960,7566,17394,Saturday,4.9
2024-01-13,Paneer Tikka,Main Course,91,280,25480,10465,15015,Saturday,4.0
2024-01-13,Biryani,Main Course,110,350,38500,16390,22110,Saturday,3.9
2024-01-13,Dal Makhani,Main Course,70,220,15400,6650,8750,Saturday,3.7
2024-01-13,Tandoori Roti,Bread/Dessert/Beverage,95,40,3800,1520,2280,Saturday,4.3
2024-01-13,Naan,Bread/Dessert/Beverage,55,50,2750,880,1870,Saturday,3.9
2024-01-13,Gulab Jamun,Bread/Dessert/Beverage,74,80,5920,1776,4144,Saturday,4.2
2024-01-13,Lassi,Bread/Dessert/Beverage,48,90,4320,1488,2832,Saturday,4.4
2024-01-13,Samosa,Bread/Dessert/Beverage,118,60,7080,2478,4602,Saturday,3.9
2024-01-13,Chole Bhature,Main Course,31,160,4960,2046,2914,Saturday,3.6
2024-01-14,Butter Chicken,Main Course,117,320,37440,16263,21177,Sunday,4.8
2024-01-14,Paneer Tikka,Main Course,94,280,26320,10528,15792,Sunday,4.4
2024-01-14,Biryani,Main Course,81,350,28350,12312,16038,Sunday,3.8
2024-01-14,Dal Makhani,Main Course,33,220,7260,2277,4983,Sunday,3.9
2024-01-14,Tandoori Roti,Bread/Dessert/Beverage,47,40,1880,799,1081,Sunday,3.6
2024-01-14,Naan,Bread/Dessert/Beverage,22,50,1100,418,682,Sunday,5.0
2024-01-14,Gulab Jamun,Bread/Dessert/Beverage,70,80,5600,2380,3220,Sunday,4.3
2024-01-14,Lassi,Bread/Dessert/Beverage,26,90,2340,728,1612,Sunday,4.7
2024-01-14,Samosa,Bread/Dessert/Beverage,104,60,6240,2392,3848,Sunday,3.7
2024-01-14,Chole Bhature,Main Course,43,160,6880,2150,4730,Sunday,4.9
2024-01-15,Butter Chicken,Main Course,102,320,32640,13056,19584,Monday,4.7
2024-01-15,Paneer Tikka,Main Course,113,280,31640,13673,17967,Monday,4.4
2024-01-15,Biryani,Main Course,81,350,28350,10692,17658,Monday,4.1
2024-01-15,Dal Makhani,Main Course,107,220,23540,8132,15408,Monday,4.2
2024-01-15,Tandoori Roti,Bread/Dessert/Beverage,33,40,1320,561,759,Monday,4.4
2024-01-15,Naan,Bread/Dessert/Beverage,97,50,4850,2134,2716,Monday,4.2
2024-01-15,Gulab Jamun,Bread/Dessert/Beverage,52,80,4160,1612,2548,Monday,4.4
2024-01-15,Lassi,Bread/Dessert/Beverage,93,90,8370,3255,5115,Monday,4.6
2024-01-15,Samosa,Bread/Dessert/Beverage,21,60,1260,420,840,Monday,4.3
2024-01-15,Chole Bhature,Main Course,38,160,6080,1938,4142,Monday,4.1
2024-01-16,Butter Chicken,Main Course,55,320,17600,6545,11055,Tuesday,4.5
2024-01-16,Paneer Tikka,Main Course,38,280,10640,4712,5928,Tuesday,4.4
2024-01-16,Biryani,Main Course,105,350,36750,15120,21630,Tuesday,4.3
2024-01-16,Dal Makhani,Main Course,49,220,10780,4263,6517,Tuesday,3.6
2024-01-16,Tandoori Roti,Bread/Dessert/Beverage,63,40,2520,882,1638,Tuesday,4.0
2024-01-16,Naan,Bread/Dessert/Beverage,110,50,5500,2090,3410,Tuesday,3.6
2024-01-16,Gulab Jamun,Bread/Dessert/Beverage,52,80,4160,1352,2808,Tuesday,3.9
2024-01-16,Lassi,Bread/Dessert/Beverage,57,90,5130,2280,2850,Tuesday,4.0
2024-01-16,Samosa,Bread/Dessert/Beverage,43,60,2580,946,1634,Tuesday,3.8
2024-01-16,Chole Bhature,Main Course,84,160,13440,5292,8148,Tuesday,3.9
2024-01-17,Butter Chicken,Main Course,47,320,15040,4982,10058,Wednesday,4.3
2024-01-17,Paneer Tikka,Main Course,69,280,19320,5796,13524,Wednesday,3.5
2024-01-17,Biryani,Main Course,118,350,41300,13806,27494,Wednesday,3.6
2024-01-17,Dal Makhani,Main Course,25,220,5500,1750,3750,Wednesday,4.0
2024-01-17,Tandoori Roti,Bread/Dessert/Beverage,70,40,2800,1190,1610,Wednesday,4.4
2024-01-17,Naan,Bread/Dessert/Beverage,16,50,800,304,496,Wednesday,3.9
2024-01-17,Gulab Jamun,Bread/Dessert/Beverage,120,80,9600,4200,5400,Wednesday,4.1
2024-01-17,Lassi,Bread/Dessert/Beverage,91,90,8190,2548,5642,Wednesday,4.4
2024-01-17,Samosa,Bread/Dessert/Beverage,84,60,5040,1596,3444,Wednesday,4.0
2024-01-17,Chole Bhature,Main Course,84,160,13440,5040,8400,Wednesday,4.8
2024-01-18,Butter Chicken,Main Course,89,320,28480,10680,17800,Thursday,4.6
2024-01-18,Paneer Tikka,Main Course,19,280,5320,2394,2926,Thursday,3.7
2024-01-18,Biryani,Main Course,70,350,24500,8330,16170,Thursday,4.1
2024-01-18,Dal Makhani,Main Course,34,220,7480,2720,4760,Thursday,4.1
2024-01-18,Tandoori Roti,Bread/Dessert/Beverage,74,40,2960,1258,1702,Thursday,4.6
2024-01-18,Naan,Bread/Dessert/Beverage,25,50,1250,500,750,Thursday,4.0
2024-01-18,Gulab Jamun,Bread/Dessert/Beverage,97,80,7760,3298,4462,Thursday,4.9
2024-01-18,Lassi,Bread/Dessert/Beverage,58,90,5220,2204,3016,Thursday,3.5
2024-01-18,Samosa,Bread/Dessert/Beverage,77,60,4620,1848,2772,Thursday,3.6
2024-01-18,Chole Bhature,Main Course,48,160,7680,2592,5088,Thursday,3.6
2024-01-19,Butter Chicken,Main Course,62,320,19840,7750,12090,Friday,4.5
2024-01-19,Paneer Tikka,Main Course,16,280,4480,1424,3056,Friday,4.1
2024-01-19,Biryani,Main Course,119,350,41650,15351,26299,Friday,4.1
2024-01-19,Dal Makhani,Main Course,29,220,6380,2030,4350,Friday,4.1
2024-01-19,Tandoori Roti,Bread/Dessert/Beverage,27,40,1080,459,621,Friday,3.6
2024-01-19,Naan,Bread/Dessert/Beverage,35,50,1750,560,1190,Friday,4.0
2024-01-19,Gulab Jamun,Bread/Dessert/Beverage,53,80,4240,1855,2385,Friday,4.5
2024-01-19,Lassi,Bread/Dessert/Beverage,62,90,5580,2232,3348,Friday,4.0
2024-01-19,Samosa,Bread/Dessert/Beverage,82,60,4920,1886,3034,Friday,3.5
2024-01-19,Chole Bhature,Main Course,68,160,10880,4284,6596,Friday,4.9
2024-01-20,Butter Chicken,Main Course,28,320,8960,3500,5460,Saturday,4.8
2024-01-20,Paneer Tikka,Main Course,50,280,14000,5700,8300,Saturday,3.7
2024-01-20,Biryani,Main Course,120,350,42000,18240,23760,Saturday,3.6
2024-01-20,Dal Makhani,Main Course,101,220,22220,8484,13736,Saturday,3.7
2024-01-20,Tandoori Roti,Bread/Dessert/Beverage,33,40,1320,396,924,Saturday,4.1
2024-01-20,Naan,Bread/Dessert/Beverage,109,50,5450,1853,3597,Saturday,4.2
2024-01-20,Gulab Jamun,Bread/Dessert/Beverage,20,80,1600,620,980,Saturday,3.6
2024-01-20,Lassi,Bread/Dessert/Beverage,72,90,6480,2088,4392,Saturday,4.3
2024-01-20,Samosa,Bread/Dessert/Beverage,52,60,3120,1092,2028,Saturday,4.6
2024-01-20,Chole Bhature,Main Course,90,160,14400,5760,8640,Saturday,4.8
2024-01-21,Butter Chicken,Main Course,32,320,10240,4128,6112,Sunday,4.1
2024-01-21,Paneer Tikka,Main Course,50,280,14000,5600,8400,Sunday,3.9
2024-01-21,Biryani,Main Course,91,350,31850,11011,20839,Sunday,4.7
2024-01-21,Dal Makhani,Main Course,17,220,3740,1377,2363,Sunday,4.7
2024-01-21,Tandoori Roti,Bread/Dessert/Beverage,10,40,400,170,230,Sunday,4.8
2024-01-21,Naan,Bread/Dessert/Beverage,67,50,3350,1474,1876,Sunday,4.1
2024-01-21,Gulab Jamun,Bread/Dessert/Beverage,45,80,3600,1260,2340,Sunday,4.4
2024-01-21,Lassi,Bread/Dessert/Beverage,36,90,3240,1152,2088,Sunday,4.4
2024-01-21,Samosa,Bread/Dessert/Beverage,107,60,6420,2568,3852,Sunday,4.5
2024-01-21,Chole Bhature,Main Course,109,160,17440,6213,11227,Sunday,3.8
2024-01-22,Butter Chicken,Main Course,31,320,9920,3627,6293,Monday,3.7
2024-01-22,Paneer Tikka,Main Course,83,280,23240,10043,13197,Monday,4.0
2024-01-22,Biryani,Main Course,107,350,37450,12091,25359,Monday,3.5
2024-01-22,Dal Makhani,Main Course,30,220,6600,2610,3990,Monday,4.5
2024-01-22,Tandoori Roti,Bread/Dessert/Beverage,72,40,2880,1008,1872,Monday,3.6
2024-01-22,Naan,Bread/Dessert/Beverage,110,50,5500,1980,3520,Monday,4.0
2024-01-22,Gulab Jamun,Bread/Dessert/Beverage,107,80,8560,3424,5136,Monday,4.4
2024-01-22,Lassi,Bread/Dessert/Beverage,109,90,9810,3488,6322,Monday,3.8
2024-01-22,Samosa,Bread/Dessert/Beverage,21,60,1260,567,693,Monday,4.2
2024-01-22,Chole Bhature,Main Course,26,160,4160,1690,2470,Monday,3.7
2024-01-23,Butter Chicken,Main Course,88,320,28160,10472,17688,Tuesday,3.5
2024-01-23,Paneer Tikka,Main Course,65,280,18200,6825,11375,Tuesday,4.9
2024-01-23,Biryani,Main Course,91,350,31850,11375,20475,Tuesday,3.6
2024-01-23,Dal Makhani,Main Course,64,220,14080,4288,9792,Tuesday,4.1
2024-01-23,Tandoori Roti,Bread/Dessert/Beverage,61,40,2440,793,1647,Tuesday,3.5
2024-01-23,Naan,Bread/Dessert/Beverage,64,50,3200,1344,1856,Tuesday,4.2
2024-01-23,Gulab Jamun,Bread/Dessert/Beverage,71,80,5680,1917,3763,Tuesday,4.9
2024-01-23,Lassi,Bread/Dessert/Beverage,59,90,5310,1711,3599,Tuesday,4.9
2024-01-23,Samosa,Bread/Dessert/Beverage,10,60,600,210,390,Tuesday,4.8
2024-01-23,Chole Bhature,Main Course,14,160,2240,868,1372,Tuesday,4.7
2024-01-24,Butter Chicken,Main Course,78,320,24960,11154,13806,Wednesday,3.9
2024-01-24,Paneer Tikka,Main Course,35,280,9800,4340,5460,Wednesday,4.1
2024-01-24,Biryani,Main Course,103,350,36050,12875,23175,Wednesday,4.0
2024-01-24,Dal Makhani,Main Course,57,220,12540,4788,7752,Wednesday,3.7
2024-01-24,Tandoori Roti,Bread/Dessert/Beverage,11,40,440,165,275,Wednesday,4.3
2024-01-24,Naan,Bread/Dessert/Beverage,51,50,2550,1071,1479,Wednesday,4.8
2024-01-24,Gulab Jamun,Bread/Dessert/Beverage,106,80,8480,3074,5406,Wednesday,4.0
2024-01-24,Lassi,Bread/Dessert/Beverage,116,90,10440,3596,6844,Wednesday,3.8
2024-01-24,Samosa,Bread/Dessert/Beverage,77,60,4620,1463,3157,Wednesday,4.0
2024-01-24,Chole Bhature,Main Course,34,160,5440,1836,3604,Wednesday,4.9
2024-01-25,Butter Chicken,Main Course,12,320,3840,1476,2364,Thursday,4.0
2024-01-25,Paneer Tikka,Main Course,96,280,26880,10368,16512,Thursday,3.7
2024-01-25,Biryani,Main Course,10,350,3500,1280,2220,Thursday,4.4
2024-01-25,Dal Makhani,Main Course,90,220,19800,7380,12420,Thursday,4.1
2024-01-25,Tandoori Roti,Bread/Dessert/Beverage,103,40,4120,1854,2266,Thursday,4.8
2024-01-25,Naan,Bread/Dessert/Beverage,41,50,2050,820,1230,Thursday,4.4
2024-01-25,Gulab Jamun,Bread/Dessert/Beverage,38,80,3040,1178,1862,Thursday,3.8
2024-01-25,Lassi,Bread/Dessert/Beverage,98,90,8820,3136,5684,Thursday,3.6
2024-01-25,Samosa,Bread/Dessert/Beverage,54,60,3240,1188,2052,Thursday,4.3
2024-01-25,Chole Bhature,Main Course,49,160,7840,2597,5243,Thursday,4.9
2024-01-26,Butter Chicken,Main Course,26,320,8320,3640,4680,Friday,4.6
2024-01-26,Paneer Tikka,Main Course,23,280,6440,2438,4002,Friday,4.8
2024-01-26,Biryani,Main Course,59,350,20650,6608,14042,Friday,4.7
2024-01-26,Dal Makhani,Main Course,74,220,16280,5180,11100,Friday,4.7
2024-01-26,Tandoori Roti,Bread/Dessert/Beverage,85,40,3400,1190,2210,Friday,4.8
2024-01-26,Naan,Bread/Dessert/Beverage,49,50,2450,1078,1372,Friday,3.7
2024-01-26,Gulab Jamun,Bread/Dessert/Beverage,31,80,2480,930,1550,Friday,5.0
2024-01-26,Lassi,Bread/Dessert/Beverage,18,90,1620,612,1008,Friday,4.8
2024-01-26,Samosa,Bread/Dessert/Beverage,115,60,6900,2645,4255,Friday,4.1
2024-01-26,Chole Bhature,Main Course,15,160,2400,825,1575,Friday,3.8
2024-01-27,Butter Chicken,Main Course,48,320,15360,6384,8976,Saturday,4.1
2024-01-27,Paneer Tikka,Main Course,47,280,13160,4935,8225,Saturday,4.2
2024-01-27,Biryani,Main Course,68,350,23800,9180,14620,Saturday,4.8
2024-01-27,Dal Makhani,Main Course,103,220,22660,10094,12566,Saturday,4.1
2024-01-27,Tandoori Roti,Bread/Dessert/Beverage,76,40,3040,1292,1748,Saturday,4.6
2024-01-27,Naan,Bread/Dessert/Beverage,86,50,4300,1634,2666,Saturday,4.9
2024-01-27,Gulab Jamun,Bread/Dessert/Beverage,77,80,6160,2002,4158,Saturday,3.7
2024-01-27,Lassi,Bread/Dessert/Beverage,53,90,4770,2067,2703,Saturday,4.2
2024-01-27,Samosa,Bread/Dessert/Beverage,65,60,3900,1690,2210,Saturday,4.8
2024-01-27,Chole Bhature,Main Course,97,160,15520,4753,10767,Saturday,4.8
2024-01-28,Butter Chicken,Main Course,27,320,8640,3186,5454,Sunday,4.3
2024-01-28,Paneer Tikka,Main Course,53,280,14840,5830,9010,Sunday,4.9
2024-01-28,Biryani,Main Course,72,350,25200,7632,17568,Sunday,4.2
2024-01-28,Dal Makhani,Main Course,55,220,12100,4895,7205,Sunday,4.6
2024-01-28,Tandoori Roti,Bread/Dessert/Beverage,106,40,4240,1696,2544,Sunday,3.7
2024-01-28,Naan,Bread/Dessert/Beverage,34,50,1700,578,1122,Sunday,4.0
2024-01-28,Gulab Jamun,Bread/Dessert/Beverage,31,80,2480,1054,1426,Sunday,3.9
2024-01-28,Lassi,Bread/Dessert/Beverage,113,90,10170,3390,6780,Sunday,4.9
2024-01-28,Samosa,Bread/Dessert/Beverage,61,60,3660,1098,2562,Sunday,5.0
2024-01-28,Chole Bhature,Main Course,12,160,1920,768,1152,Sunday,4.7
2024-01-29,Butter Chicken,Main Course,39,320,12480,4290,8190,Monday,3.5
2024-01-29,Paneer Tikka,Main Course,38,280,10640,4370,6270,Monday,4.8
2024-01-29,Biryani,Main Course,103,350,36050,14832,21218,Monday,3.7
2024-01-29,Dal Makhani,Main Course,26,220,5720,2366,3354,Monday,4.7
2024-01-29,Tandoori Roti,Bread/Dessert/Beverage,37,40,1480,592,888,Monday,4.6
2024-01-29,Naan,Bread/Dessert/Beverage,103,50,5150,2163,2987,Monday,4.4
2024-01-29,Gulab Jamun,Bread/Dessert/Beverage,12,80,960,300,660,Monday,4.2
2024-01-29,Lassi,Bread/Dessert/Beverage,85,90,7650,2380,5270,Monday,4.1
2024-01-29,Samosa,Bread/Dessert/Beverage,74,60,4440,1628,2812,Monday,3.6
2024-01-29,Chole Bhature,Main Course,31,160,4960,1736,3224,Monday,3.7
2024-01-30,Butter Chicken,Main Course,25,320,8000,3375,4625,Tuesday,4.9
2024-01-30,Paneer Tikka,Main Course,56,280,15680,4872,10808,Tuesday,4.9
2024-01-30,Biryani,Main Course,101,350,35350,13332,22018,Tuesday,3.9
2024-01-30,Dal Makhani,Main Course,93,220,20460,6417,14043,Tuesday,4.3
2024-01-30,Tandoori Roti,Bread/Dessert/Beverage,111,40,4440,1887,2553,Tuesday,4.6
2024-01-30,Naan,Bread/Dessert/Beverage,14,50,700,210,490,Tuesday,3.6
2024-01-30,Gulab Jamun,Bread/Dessert/Beverage,58,80,4640,1682,2958,Tuesday,3.9
2024-01-30,Lassi,Bread/Dessert/Beverage,91,90,8190,2730,5460,Tuesday,3.9
2024-01-30,Samosa,Bread/Dessert/Beverage,42,60,2520,1050,1470,Tuesday,4.9
2024-01-30,Chole Bhature,Main Course,108,160,17280,6264,11016,Tuesday,4.9
2024-01-31,Butter Chicken,Main Course,78,320,24960,8658,16302,Wednesday,4.2
2024-01-31,Paneer Tikka,Main Course,89,280,24920,8277,16643,Wednesday,4.5
2024-01-31,Biryani,Main Course,16,350,5600,2496,3104,Wednesday,4.4
2024-01-31,Dal Makhani,Main Course,86,220,18920,6708,12212,Wednesday,4.5
2024-01-31,Tandoori Roti,Bread/Dessert/Beverage,16,40,640,208,432,Wednesday,4.8
2024-01-31,Naan,Bread/Dessert/Beverage,94,50,4700,1786,2914,Wednesday,4.2
2024-01-31,Gulab Jamun,Bread/Dessert/Beverage,23,80,1840,713,1127,Wednesday,4.4
