Employee_ID,Department,Gender,Age,Join_Year,Tenure_Years,Monthly_Salary,Performance_Score,Leaves_Taken,Training_Hours,Promotion
EMP0109,Operations,Female,41,2024,0,70338,4.0,15,34,No
EMP0110,Marketing,Female,29,2022,2,90077,3.7,9,46,No
EMP0111,Operations,Female,32,2023,1,57206,2.8,15,54,No
EMP0112,Marketing,Female,50,2018,6,108341,3.6,12,54,No
EMP0113,Marketing,Female,52,2018,6,91466,3.7,22,20,No
EMP0114,HR,Female,45,2023,1,51345,4.0,15,37,No
EMP0115,Finance,Female,26,2020,4,90638,4.5,3,40,No
EMP0116,Engineering,Male,42,2023,1,87187,3.6,7,16,Yes
EMP0117,HR,Female,25,2020,4,60126,2.7,21,27,Yes
EMP0118,Finance,Female,42,2019,5,99971,3.7,15,71,No
EMP0119,Marketing,Female,42,2020,4,94977,3.2,1,21,No
EMP0120,Finance,Male,51,2023,1,87733,4.7,5,63,No
EMP0121,Engineering,Female,47,2024,0,95451,2.6,15,33,No
EMP0122,Engineering,Female,40,2018,6,122894,2.8,19,23,No
EMP0123,Marketing,Female,50,2021,3,79170,5.0,4,74,No
EMP0124,Marketing,Male,32,2019,5,85038,3.7,5,68,No
EMP0125,Operations,Male,45,2019,5,86375,4.3,10,47,No
EMP0126,Sales,Female,48,2022,2,77499,2.5,13,75,No
EMP0127,Engineering,Male,27,2021,3,99174,3.8,4,71,No
EMP0128,Sales,Female,34,2018,6,81294,3.4,7,67,No
EMP0129,Marketing,Male,30,2020,4,77201,2.7,20,56,No
EMP0130,Engineering,Male,36,2023,1,89943,2.8,9,30,No
EMP0131,Operations,Female,44,2022,2,71727,4.2,3,47,No
EMP0132,Finance,Male,52,2019,5,114433,3.0,4,71,No
EMP0133,HR,Female,35,2023,1,53472,2.8,22,80,No
EMP0134,Finance,Male,46,2024,0,80456,4.3,7,20,No
EMP0135,Finance,Female,24,2023,1,69100,4.8,18,24,Yes
EMP0136,Finance,Male,40,2022,2,74230,3.9,17,29,No
EMP0137,Marketing,Female,25,2024,0,76872,4.7,21,36,No
EMP0138,Engineering,Female,47,2022,2,106583,4.5,1,68,No
EMP0139,Finance,Female,40,2021,3,87919,4.5,1,69,No
EMP0140,Operations,Female,30,2018,6,74809,4.7,0,37,Yes
EMP0141,Engineering,Female,44,2021,3,107134,4.5,2,79,Yes
EMP0142,Engineering,Male,31,2021,3,103705,4.1,13,33,No
EMP0143,Operations,Female,33,2023,1,66398,4.3,12,67,No
EMP0144,HR,Male,42,2018,6,68616,2.7,11,25,No
EMP0145,Finance,Male,45,2021,3,84986,2.9,7,10,Yes
EMP0146,Marketing,Female,39,2021,3,97839,3.0,12,39,No
EMP0147,HR,Male,30,2020,4,83885,3.3,6,24,Yes
EMP0148,Operations,Male,29,2021,3,66338,4.5,6,18,Yes
EMP0149,Finance,Female,41,2018,6,115078,3.7,21,16,No
EMP0150,Operations,Female,36,2018,6,88981,4.3,7,79,No
EMP0151,Engineering,Female,29,2019,5,106713,5.0,23,50,No
EMP0152,Sales,Male,43,2020,4,99106,4.1,16,38,No
EMP0153,Marketing,Male,39,2020,4,82418,4.2,18,32,No
EMP0154,Finance,Male,33,2021,3,79431,2.6,20,58,No
EMP0155,Operations,Female,26,2021,3,68258,3.7,9,58,No
EMP0156,Finance,Male,49,2021,3,104716,4.3,7,48,No
EMP0157,HR,Female,52,2018,6,86687,3.6,13,77,No
EMP0158,HR,Female,28,2019,5,72102,3.4,10,20,No
EMP0159,Marketing,Male,23,2018,6,118850,2.6,8,58,Yes
EMP0160,Engineering,Male,37,2019,5,132360,3.9,6,52,No
EMP0161,Engineering,Male,52,2019,5,115153,4.3,23,25,No
EMP0162,Sales,Male,34,2023,1,70964,4.7,7,80,No
EMP0163,Marketing,Female,39,2021,3,98696,3.6,20,55,No
EMP0164,Marketing,Female,36,2020,4,84841,4.0,3,70,No
EMP0165,Sales,Female,35,2020,4,97288,3.0,1,38,No
EMP0166,Engineering,Female,31,2020,4,116203,4.1,4,35,No
EMP0167,Sales,Male,37,2021,3,87033,2.8,17,53,No
EMP0168,HR,Female,36,2023,1,64767,4.8,5,55,No
EMP0169,Sales,Female,27,2023,1,63491,3.1,17,17,Yes
EMP0170,Engineering,Male,46,2024,0,101149,3.0,0,62,No
EMP0171,Operations,Male,44,2019,5,93072,3.7,4,11,No
EMP0172,Finance,Female,23,2021,3,84990,4.7,19,71,No
EMP0173,Engineering,Female,22,2018,6,121407,3.8,0,77,No
EMP0174,Finance,Male,38,2020,4,93670,4.0,22,65,No
EMP0175,Engineering,Male,29,2018,6,109503,3.5,6,77,No
EMP0176,Marketing,Female,24,2020,4,106561,3.1,11,61,No
EMP0177,Finance,Male,31,2019,5,109336,3.3,21,20,Yes
EMP0178,Engineering,Female,34,2021,3,115266,2.8,17,70,Yes
EMP0179,Operations,Male,24,2018,6,101340,3.6,15,65,No
EMP0180,Finance,Male,50,2024,0,69946,2.7,16,15,No
EMP0181,Sales,Female,30,2024,0,59112,3.8,1,19,No
EMP0182,Finance,Male,27,2022,2,82760,4.6,10,12,No
EMP0183,Finance,Female,51,2019,5,101332,3.1,2,48,No
EMP0184,Finance,Female,43,2019,5,107933,4.3,17,52,No
EMP0185,Operations,Male,38,2019,5,73586,2.9,23,54,Yes
EMP0186,Engineering,Male,48,2021,3,88743,4.3,2,53,No
EMP0187,Marketing,Female,47,2018,6,107584,3.7,14,72,No
EMP0188,Marketing,Female,35,2022,2,91408,4.5,5,58,Yes
EMP0189,Finance,Male,44,2020,4,101268,4.7,2,20,No
EMP0190,Sales,Male,45,2021,3,72519,2.8,12,50,No
EMP0191,Engineering,Male,52,2018,6,113991,2.6,9,66,No
EMP0192,Marketing,Male,24,2018,6,102969,4.8,5,65,No
EMP0193,Finance,Female,25,2022,2,73852,2.8,0,21,No
EMP0194,Finance,Female,49,2018,6,107381,4.8,12,11,No
EMP0195,HR,Male,45,2021,3,63932,3.8,17,41,No
EMP0196,Operations,Male,26,2021,3,62766,2.9,8,48,No
EMP0197,HR,Male,27,2019,5,88753,4.9,13,45,No
EMP0198,Marketing,Male,33,2021,3,72141,4.9,8,41,No
EMP0199,Finance,Male,36,2022,2,91801,4.7,3,27,No
EMP0200,Engineering,Female,48,2021,3,103792,3.8,19,58,No
