Date,Product,Region,Units_Sold,Revenue,Cost,Profit,Profit_Margin_Pct,Category
2023-02-01,Smartwatch,Mumbai,480,7200000,4199648,3000352,41.7,Mobile & Audio
2023-02-01,Smartwatch,Bangalore,203,3045000,1710655,1334345,43.8,Mobile & Audio
2023-02-01,Smartwatch,Hyderabad,127,1905000,1080387,824613,43.3,Mobile & Audio
2023-02-01,Smartwatch,Chennai,369,5535000,3061396,2473604,44.7,Mobile & Audio
2023-02-01,Keyboard,Delhi,472,1180000,667945,512055,43.4,Computing
2023-02-01,Keyboard,Mumbai,467,1167500,777685,389815,33.4,Computing
2023-02-01,Keyboard,Bangalore,228,570000,320398,249602,43.8,Computing
2023-02-01,Keyboard,Pune,337,842500,509060,333440,39.6,Computing
2023-02-01,Mouse,Chennai,429,514800,357080,157720,30.6,Computing
2023-02-01,Mouse,Delhi,435,522000,289165,232835,44.6,Computing
2023-02-01,Mouse,Hyderabad,110,132000,90877,41123,31.2,Computing
2023-02-01,Mouse,Mumbai,471,565200,337942,227258,40.2,Computing
2023-02-01,Monitor,Pune,493,8874000,5058961,3815039,43.0,Computing
2023-02-01,Monitor,Mumbai,190,3420000,2286083,1133917,33.2,Computing
2023-02-01,Monitor,Delhi,420,7560000,4966317,2593683,34.3,Computing
2023-02-01,Monitor,Bangalore,496,8928000,6242192,2685808,30.1,Computing
2023-02-01,Webcam,Pune,423,1692000,1142036,549964,32.5,Computing
2023-02-01,Webcam,Delhi,379,1516000,1040873,475127,31.3,Computing
2023-02-01,Webcam,Bangalore,75,300000,179384,120616,40.2,Computing
2023-02-01,Webcam,Mumbai,215,860000,498942,361058,42.0,Computing
2023-02-01,Speaker,Mumbai,438,2190000,1483954,706046,32.2,Mobile & Audio
2023-02-01,Speaker,Pune,490,2450000,1683547,766453,31.3,Mobile & Audio
2023-02-01,Speaker,Delhi,255,1275000,915942,359058,28.2,Mobile & Audio
2023-02-01,Speaker,Chennai,199,995000,617044,377956,38.0,Mobile & Audio
2023-03-01,Laptop,Bangalore,357,23205000,14230306,8974694,38.7,Computing
2023-03-01,Laptop,Delhi,118,7670000,5230865,2439135,31.8,Computing
2023-03-01,Laptop,Hyderabad,224,14560000,8851557,5708443,39.2,Computing
2023-03-01,Laptop,Mumbai,188,12220000,8654555,3565445,29.2,Computing
2023-03-01,Smartphone,Bangalore,348,8700000,6054592,2645408,30.4,Mobile & Audio
2023-03-01,Smartphone,Mumbai,280,7000000,4360503,2639497,37.7,Mobile & Audio
2023-03-01,Smartphone,Chennai,224,5600000,3794829,1805171,32.2,Mobile & Audio
2023-03-01,Smartphone,Delhi,367,9175000,6223148,2951852,32.2,Mobile & Audio
2023-03-01,Headphones,Hyderabad,469,1641500,931602,709898,43.2,Mobile & Audio
2023-03-01,Headphones,Bangalore,153,535500,376689,158811,29.7,Mobile & Audio
2023-03-01,Headphones,Mumbai,111,388500,247044,141456,36.4,Mobile & Audio
2023-03-01,Headphones,Pune,317,1109500,766107,343393,31.0,Mobile & Audio
2023-03-01,Tablet,Bangalore,242,8470000,5119339,3350661,39.6,Mobile & Audio
2023-03-01,Tablet,Mumbai,196,6860000,4817359,2042641,29.8,Mobile & Audio
2023-03-01,Tablet,Hyderabad,393,13755000,8475340,5279660,38.4,Mobile & Audio
2023-03-01,Tablet,Chennai,422,14770000,8150712,6619288,44.8,Mobile & Audio
2023-03-01,Smartwatch,Bangalore,480,7200000,5068188,2131812,29.6,Mobile & Audio
2023-03-01,Smartwatch,Pune,315,4725000,2672076,2052924,43.4,Mobile & Audio
2023-03-01,Smartwatch,Mumbai,117,1755000,1060517,694483,39.6,Mobile & Audio
2023-03-01,Smartwatch,Delhi,150,2250000,1600899,649101,28.8,Mobile & Audio
2023-03-01,Keyboard,Mumbai,493,1232500,877051,355449,28.8,Computing
2023-03-01,Keyboard,Pune,432,1080000,699283,380717,35.3,Computing
2023-03-01,Keyboard,Chennai,295,737500,484842,252658,34.3,Computing
2023-03-01,Keyboard,Bangalore,371,927500,580834,346666,37.4,Computing
2023-03-01,Mouse,Chennai,55,66000,39590,26410,40.0,Computing
2023-03-01,Mouse,Delhi,360,432000,261737,170263,39.4,Computing
2023-03-01,Mouse,Bangalore,491,589200,391422,197778,33.6,Computing
2023-03-01,Mouse,Hyderabad,189,226800,153749,73051,32.2,Computing
2023-03-01,Monitor,Hyderabad,480,8640000,5914671,2725329,31.5,Computing
2023-03-01,Monitor,Bangalore,173,3114000,2130708,983292,31.6,Computing
2023-03-01,Monitor,Mumbai,279,5022000,2839966,2182034,43.4,Computing
2023-03-01,Monitor,Chennai,178,3204000,2031501,1172499,36.6,Computing
2023-03-01,Webcam,Chennai,376,1504000,841917,662083,44.0,Computing
2023-03-01,Webcam,Pune,171,684000,440099,243901,35.7,Computing
2023-03-01,Webcam,Bangalore,303,1212000,757573,454427,37.5,Computing
2023-03-01,Webcam,Delhi,85,340000,238309,101691,29.9,Computing
2023-03-01,Speaker,Delhi,403,2015000,1228456,786544,39.0,Mobile & Audio
2023-03-01,Speaker,Pune,482,2410000,1373462,1036538,43.0,Mobile & Audio
2023-03-01,Speaker,Hyderabad,109,545000,312998,232002,42.6,Mobile & Audio
2023-03-01,Speaker,Bangalore,335,1675000,1138090,536910,32.1,Mobile & Audio
2023-04-01,Laptop,Hyderabad,446,28990000,18991264,9998736,34.5,Computing
2023-04-01,Laptop,Bangalore,20,1300000,737348,562652,43.3,Computing
2023-04-01,Laptop,Pune,175,11375000,6418892,4956108,43.6,Computing
2023-04-01,Laptop,Chennai,166,10790000,7220288,3569712,33.1,Computing
2023-04-01,Smartphone,Delhi,246,6150000,3458574,2691426,43.8,Mobile & Audio
2023-04-01,Smartphone,Pune,246,6150000,4241755,1908245,31.0,Mobile & Audio
2023-04-01,Smartphone,Bangalore,365,9125000,6114308,3010692,33.0,Mobile & Audio
2023-04-01,Smartphone,Chennai,129,3225000,1818349,1406651,43.6,Mobile & Audio
2023-04-01,Headphones,Hyderabad,63,220500,124455,96045,43.6,Mobile & Audio
2023-04-01,Headphones,Pune,165,577500,414488,163012,28.2,Mobile & Audio
2023-04-01,Headphones,Delhi,283,990500,607797,382703,38.6,Mobile & Audio
2023-04-01,Headphones,Bangalore,359,1256500,770246,486254,38.7,Mobile & Audio
2023-04-01,Tablet,Chennai,439,15365000,10573823,4791177,31.2,Mobile & Audio
2023-04-01,Tablet,Hyderabad,404,14140000,10053996,4086004,28.9,Mobile & Audio
2023-04-01,Tablet,Bangalore,140,4900000,3516339,1383661,28.2,Mobile & Audio
2023-04-01,Tablet,Mumbai,364,12740000,8638666,4101334,32.2,Mobile & Audio
2023-04-01,Smartwatch,Bangalore,32,480000,294703,185297,38.6,Mobile & Audio
2023-04-01,Smartwatch,Delhi,43,645000,363906,281094,43.6,Mobile & Audio
2023-04-01,Smartwatch,Hyderabad,145,2175000,1483600,691400,31.8,Mobile & Audio
2023-04-01,Smartwatch,Mumbai,263,3945000,2544244,1400756,35.5,Mobile & Audio
2023-04-01,Keyboard,Hyderabad,473,1182500,735654,446846,37.8,Computing
2023-04-01,Keyboard,Mumbai,342,855000,601989,253011,29.6,Computing
2023-04-01,Keyboard,Pune,314,785000,446589,338411,43.1,Computing
2023-04-01,Keyboard,Delhi,119,297500,188540,108960,36.6,Computing
2023-04-01,Mouse,Chennai,144,172800,95374,77426,44.8,Computing
2023-04-01,Mouse,Pune,95,114000,71783,42217,37.0,Computing
2023-04-01,Mouse,Hyderabad,355,426000,238377,187623,44.0,Computing
2023-04-01,Mouse,Delhi,372,446400,254537,191863,43.0,Computing
2023-04-01,Monitor,Mumbai,110,1980000,1128559,851441,43.0,Computing
2023-04-01,Monitor,Chennai,431,7758000,5123117,2634883,34.0,Computing
2023-04-01,Monitor,Pune,376,6768000,4580769,2187231,32.3,Computing
2023-04-01,Monitor,Hyderabad,285,5130000,3330256,1799744,35.1,Computing
2023-04-01,Webcam,Pune,253,1012000,722132,289868,28.6,Computing
2023-04-01,Webcam,Mumbai,88,352000,216032,135968,38.6,Computing
2023-04-01,Webcam,Delhi,430,1720000,1029542,690458,40.1,Computing
2023-04-01,Webcam,Hyderabad,257,1028000,717196,310804,30.2,Computing
2023-04-01,Speaker,Chennai,333,1665000,979039,685961,41.2,Mobile & Audio
2023-04-01,Speaker,Hyderabad,437,2185000,1559539,625461,28.6,Mobile & Audio
2023-04-01,Speaker,Bangalore,388,1940000,1071009,868991,44.8,Mobile & Audio
2023-04-01,Speaker,Delhi,476,2380000,1701413,678587,28.5,Mobile & Audio
2023-05-01,Laptop,Hyderabad,400,26000000,14490767,11509233,44.3,Computing
2023-05-01,Laptop,Pune,461,29965000,21020278,8944722,29.9,Computing
2023-05-01,Laptop,Chennai,263,17095000,10935829,6159171,36.0,Computing
2023-05-01,Laptop,Mumbai,250,16250000,11680565,4569435,28.1,Computing
2023-05-01,Smartphone,Bangalore,268,6700000,3769054,2930946,43.7,Mobile & Audio
2023-05-01,Smartphone,Delhi,340,8500000,5475319,3024681,35.6,Mobile & Audio
2023-05-01,Smartphone,Chennai,142,3550000,2537474,1012526,28.5,Mobile & Audio
2023-05-01,Smartphone,Pune,160,4000000,2555707,1444293,36.1,Mobile & Audio
2023-05-01,Headphones,Pune,159,556500,365619,190881,34.3,Mobile & Audio
2023-05-01,Headphones,Mumbai,191,668500,446743,221757,33.2,Mobile & Audio
2023-05-01,Headphones,Bangalore,183,640500,401768,238732,37.3,Mobile & Audio
2023-05-01,Headphones,Hyderabad,477,1669500,1096335,573165,34.3,Mobile & Audio
2023-05-01,Tablet,Hyderabad,138,4830000,3136280,1693720,35.1,Mobile & Audio
2023-05-01,Tablet,Mumbai,216,7560000,5316168,2243832,29.7,Mobile & Audio
2023-05-01,Tablet,Delhi,375,13125000,7320152,5804848,44.2,Mobile & Audio
2023-05-01,Tablet,Chennai,98,3430000,2050330,1379670,40.2,Mobile & Audio
2023-05-01,Smartwatch,Chennai,228,3420000,2433569,986431,28.8,Mobile & Audio
2023-05-01,Smartwatch,Delhi,189,2835000,1988313,846687,29.9,Mobile & Audio
2023-05-01,Smartwatch,Mumbai,297,4455000,2795342,1659658,37.3,Mobile & Audio
2023-05-01,Smartwatch,Hyderabad,258,3870000,2536485,1333515,34.5,Mobile & Audio
2023-05-01,Keyboard,Pune,219,547500,326942,220558,40.3,Computing
2023-05-01,Keyboard,Mumbai,483,1207500,702742,504758,41.8,Computing
2023-05-01,Keyboard,Delhi,414,1035000,650838,384162,37.1,Computing
2023-05-01,Keyboard,Chennai,319,797500,486531,310969,39.0,Computing
2023-05-01,Mouse,Chennai,23,27600,17919,9681,35.1,Computing
2023-05-01,Mouse,Mumbai,200,240000,135172,104828,43.7,Computing
2023-05-01,Mouse,Pune,172,206400,147710,58690,28.4,Computing
2023-05-01,Mouse,Delhi,405,486000,348781,137219,28.2,Computing
2023-05-01,Monitor,Pune,132,2376000,1588801,787199,33.1,Computing
2023-05-01,Monitor,Chennai,159,2862000,1834932,1027068,35.9,Computing
2023-05-01,Monitor,Delhi,243,4374000,2635859,1738141,39.7,Computing
2023-05-01,Monitor,Hyderabad,268,4824000,3320577,1503423,31.2,Computing
2023-05-01,Webcam,Mumbai,367,1468000,978282,489718,33.4,Computing
2023-05-01,Webcam,Pune,428,1712000,988928,723072,42.2,Computing
2023-05-01,Webcam,Bangalore,227,908000,640011,267989,29.5,Computing
2023-05-01,Webcam,Hyderabad,390,1560000,1076137,483863,31.0,Computing
2023-05-01,Speaker,Delhi,293,1465000,1042298,422702,28.9,Mobile & Audio
2023-05-01,Speaker,Pune,33,165000,111106,53894,32.7,Mobile & Audio
2023-05-01,Speaker,Chennai,484,2420000,1583359,836641,34.6,Mobile & Audio
2023-05-01,Speaker,Bangalore,221,1105000,686317,418683,37.9,Mobile & Audio
2023-06-01,Laptop,Hyderabad,349,22685000,16073771,6611229,29.1,Computing
2023-06-01,Laptop,Chennai,239,15535000,10831481,4703519,30.3,Computing
2023-06-01,Laptop,Mumbai,89,5785000,3226220,2558780,44.2,Computing
2023-06-01,Laptop,Pune,463,30095000,16687147,13407853,44.6,Computing
2023-06-01,Smartphone,Pune,214,5350000,3284893,2065107,38.6,Mobile & Audio
2023-06-01,Smartphone,Delhi,187,4675000,3215437,1459563,31.2,Mobile & Audio
2023-06-01,Smartphone,Mumbai,128,3200000,2297078,902922,28.2,Mobile & Audio
2023-06-01,Smartphone,Hyderabad,252,6300000,3626096,2673904,42.4,Mobile & Audio
2023-06-01,Headphones,Bangalore,405,1417500,922796,494704,34.9,Mobile & Audio
2023-06-01,Headphones,Chennai,445,1557500,957475,600025,38.5,Mobile & Audio
2023-06-01,Headphones,Pune,235,822500,587993,234507,28.5,Mobile & Audio
2023-06-01,Headphones,Delhi,149,521500,361483,160017,30.7,Mobile & Audio
2023-06-01,Tablet,Mumbai,296,10360000,7174465,3185535,30.7,Mobile & Audio
2023-06-01,Tablet,Pune,46,1610000,1013781,596219,37.0,Mobile & Audio
2023-06-01,Tablet,Chennai,199,6965000,4321917,2643083,37.9,Mobile & Audio
2023-06-01,Tablet,Bangalore,134,4690000,2797487,1892513,40.4,Mobile & Audio
2023-06-01,Smartwatch,Chennai,146,2190000,1225489,964511,44.0,Mobile & Audio
2023-06-01,Smartwatch,Mumbai,122,1830000,1275515,554485,30.3,Mobile & Audio
2023-06-01,Smartwatch,Hyderabad,449,6735000,4634981,2100019,31.2,Mobile & Audio
2023-06-01,Smartwatch,Pune,30,450000,323978,126022,28.0,Mobile & Audio
2023-06-01,Keyboard,Hyderabad,262,655000,471226,183774,28.1,Computing
2023-06-01,Keyboard,Delhi,362,905000,583203,321797,35.6,Computing
2023-06-01,Keyboard,Chennai,78,195000,132742,62258,31.9,Computing
2023-06-01,Keyboard,Mumbai,308,770000,547170,222830,28.9,Computing
2023-06-01,Mouse,Delhi,105,126000,87499,38501,30.6,Computing
2023-06-01,Mouse,Pune,330,396000,234451,161549,40.8,Computing
2023-06-01,Mouse,Bangalore,330,396000,248131,147869,37.3,Computing
2023-06-01,Mouse,Chennai,402,482400,275912,206488,42.8,Computing
2023-06-01,Monitor,Chennai,75,1350000,961455,388545,28.8,Computing
2023-06-01,Monitor,Mumbai,316,5688000,3714547,1973453,34.7,Computing
2023-06-01,Monitor,Delhi,33,594000,349788,244212,41.1,Computing
2023-06-01,Monitor,Pune,495,8910000,5917925,2992075,33.6,Computing
2023-06-01,Webcam,Bangalore,386,1544000,1011446,532554,34.5,Computing
2023-06-01,Webcam,Hyderabad,121,484000,295670,188330,38.9,Computing
2023-06-01,Webcam,Pune,58,232000,132079,99921,43.1,Computing
2023-06-01,Webcam,Delhi,323,1292000,858104,433896,33.6,Computing
2023-06-01,Speaker,Chennai,415,2075000,1324789,750211,36.2,Mobile & Audio
2023-06-01,Speaker,Delhi,174,870000,592726,277274,31.9,Mobile & Audio
2023-06-01,Speaker,Mumbai,455,2275000,1452423,822577,36.2,Mobile & Audio
2023-06-01,Speaker,Bangalore,370,1850000,1285511,564489,30.5,Mobile & Audio
2023-07-01,Laptop,Hyderabad,292,18980000,12219783,6760217,35.6,Computing
2023-07-01,Laptop,Mumbai,239,15535000,10025659,5509341,35.5,Computing
2023-07-01,Laptop,Chennai,358,23270000,16266454,7003546,30.1,Computing
2023-07-01,Laptop,Delhi,209,13585000,8403574,5181426,38.1,Computing
2023-07-01,Smartphone,Mumbai,454,11350000,6501082,4848918,42.7,Mobile & Audio
2023-07-01,Smartphone,Hyderabad,235,5875000,3259997,2615003,44.5,Mobile & Audio
2023-07-01,Smartphone,Bangalore,441,11025000,7479066,3545934,32.2,Mobile & Audio
2023-07-01,Smartphone,Chennai,270,6750000,4424305,2325695,34.5,Mobile & Audio
2023-07-01,Headphones,Mumbai,476,1666000,1115709,550291,33.0,Mobile & Audio
2023-07-01,Headphones,Pune,444,1554000,910961,643039,41.4,Mobile & Audio
2023-07-01,Headphones,Bangalore,255,892500,511566,380934,42.7,Mobile & Audio
2023-07-01,Headphones,Hyderabad,382,1337000,738656,598344,44.8,Mobile & Audio
2023-07-01,Tablet,Delhi,287,10045000,6123431,3921569,39.0,Mobile & Audio
2023-07-01,Tablet,Pune,353,12355000,8034284,4320716,35.0,Mobile & Audio
2023-07-01,Tablet,Chennai,158,5530000,3410249,2119751,38.3,Mobile & Audio
2023-07-01,Tablet,Bangalore,335,11725000,7320747,4404253,37.6,Mobile & Audio
2023-07-01,Smartwatch,Hyderabad,442,6630000,4665577,1964423,29.6,Mobile & Audio
2023-07-01,Smartwatch,Pune,394,5910000,3600392,2309608,39.1,Mobile & Audio
2023-07-01,Smartwatch,Chennai,323,4845000,3088097,1756903,36.3,Mobile & Audio
2023-07-01,Smartwatch,Delhi,157,2355000,1608985,746015,31.7,Mobile & Audio
2023-07-01,Keyboard,Bangalore,471,1177500,727003,450497,38.3,Computing
2023-07-01,Keyboard,Delhi,250,625000,409847,215153,34.4,Computing
2023-07-01,Keyboard,Mumbai,144,360000,250777,109223,30.3,Computing
2023-07-01,Keyboard,Hyderabad,404,1010000,718533,291467,28.9,Computing
2023-07-01,Mouse,Pune,34,40800,23460,17340,42.5,Computing
2023-07-01,Mouse,Hyderabad,273,327600,231784,95816,29.2,Computing
2023-07-01,Mouse,Chennai,455,546000,345978,200022,36.6,Computing
2023-07-01,Mouse,Delhi,186,223200,132559,90641,40.6,Computing
2023-07-01,Monitor,Delhi,428,7704000,4838521,2865479,37.2,Computing
2023-07-01,Monitor,Pune,152,2736000,1960633,775367,28.3,Computing
2023-07-01,Monitor,Chennai,194,3492000,2213038,1278962,36.6,Computing
2023-07-01,Monitor,Hyderabad,163,2934000,1777675,1156325,39.4,Computing
2023-07-01,Webcam,Hyderabad,117,468000,307793,160207,34.2,Computing
2023-07-01,Webcam,Bangalore,63,252000,148888,103112,40.9,Computing
2023-07-01,Webcam,Mumbai,143,572000,321977,250023,43.7,Computing
2023-07-01,Webcam,Chennai,388,1552000,887604,664396,42.8,Computing
2023-07-01,Speaker,Pune,263,1315000,751875,563125,42.8,Mobile & Audio
2023-07-01,Speaker,Chennai,350,1750000,1007691,742309,42.4,Mobile & Audio
2023-07-01,Speaker,Delhi,384,1920000,1101313,818687,42.6,Mobile & Audio
2023-07-01,Speaker,Bangalore,271,1355000,892875,462125,34.1,Mobile & Audio
2023-08-01,Laptop,Pune,133,8645000,5022050,3622950,41.9,Computing
2023-08-01,Laptop,Mumbai,227,14755000,8982305,5772695,39.1,Computing
2023-08-01,Laptop,Hyderabad,374,24310000,17076657,7233343,29.8,Computing
2023-08-01,Laptop,Delhi,144,9360000,5902168,3457832,36.9,Computing
2023-08-01,Smartphone,Bangalore,303,7575000,5025897,2549103,33.7,Mobile & Audio
2023-08-01,Smartphone,Hyderabad,291,7275000,4214367,3060633,42.1,Mobile & Audio
2023-08-01,Smartphone,Chennai,196,4900000,2855177,2044823,41.7,Mobile & Audio
2023-08-01,Smartphone,Delhi,237,5925000,3299915,2625085,44.3,Mobile & Audio
2023-08-01,Headphones,Chennai,379,1326500,767671,558829,42.1,Mobile & Audio
2023-08-01,Headphones,Hyderabad,252,882000,526872,355128,40.3,Mobile & Audio
2023-08-01,Headphones,Bangalore,158,553000,320791,232209,42.0,Mobile & Audio
2023-08-01,Headphones,Delhi,176,616000,348089,267911,43.5,Mobile & Audio
2023-08-01,Tablet,Bangalore,118,4130000,2356198,1773802,42.9,Mobile & Audio
2023-08-01,Tablet,Delhi,181,6335000,3980486,2354514,37.2,Mobile & Audio
2023-08-01,Tablet,Mumbai,81,2835000,1658693,1176307,41.5,Mobile & Audio
2023-08-01,Tablet,Chennai,400,14000000,8566962,5433038,38.8,Mobile & Audio
2023-08-01,Smartwatch,Hyderabad,398,5970000,3794418,2175582,36.4,Mobile & Audio
2023-08-01,Smartwatch,Delhi,267,4005000,2672805,1332195,33.3,Mobile & Audio
2023-08-01,Smartwatch,Chennai,161,2415000,1344390,1070610,44.3,Mobile & Audio
2023-08-01,Smartwatch,Mumbai,390,5850000,4012514,1837486,31.4,Mobile & Audio
2023-08-01,Keyboard,Hyderabad,446,1115000,732269,382731,34.3,Computing
2023-08-01,Keyboard,Chennai,119,297500,167760,129740,43.6,Computing
2023-08-01,Keyboard,Bangalore,171,427500,298612,128888,30.1,Computing
2023-08-01,Keyboard,Mumbai,136,340000,240226,99774,29.3,Computing
2023-08-01,Mouse,Bangalore,382,458400,256880,201520,44.0,Computing
2023-08-01,Mouse,Delhi,293,351600,209930,141670,40.3,Computing
2023-08-01,Mouse,Chennai,84,100800,69255,31545,31.3,Computing
2023-08-01,Mouse,Mumbai,160,192000,130023,61977,32.3,Computing
2023-08-01,Monitor,Mumbai,84,1512000,879029,632971,41.9,Computing
2023-08-01,Monitor,Chennai,346,6228000,3647051,2580949,41.4,Computing
2023-08-01,Monitor,Bangalore,464,8352000,5119611,3232389,38.7,Computing
2023-08-01,Monitor,Pune,405,7290000,4609969,2680031,36.8,Computing
2023-08-01,Webcam,Pune,165,660000,432368,227632,34.5,Computing
2023-08-01,Webcam,Mumbai,260,1040000,637224,402776,38.7,Computing
2023-08-01,Webcam,Hyderabad,265,1060000,666349,393651,37.1,Computing
2023-08-01,Webcam,Bangalore,245,980000,663529,316471,32.3,Computing
2023-08-01,Speaker,Bangalore,461,2305000,1282124,1022876,44.4,Mobile & Audio
2023-08-01,Speaker,Delhi,264,1320000,782647,537353,40.7,Mobile & Audio
2023-08-01,Speaker,Mumbai,78,390000,261795,128205,32.9,Mobile & Audio
2023-08-01,Speaker,Hyderabad,440,2200000,1544807,655193,29.8,Mobile & Audio
2023-09-01,Laptop,Mumbai,315,20475000,13042271,7432729,36.3,Computing
2023-09-01,Laptop,Pune,342,22230000,14237410,7992590,36.0,Computing
2023-09-01,Laptop,Hyderabad,371,24115000,13702607,10412393,43.2,Computing
2023-09-01,Laptop,Chennai,47,3055000,1912614,1142386,37.4,Computing
2023-09-01,Smartphone,Delhi,147,3675000,2354003,1320997,35.9,Mobile & Audio
2023-09-01,Smartphone,Chennai,80,2000000,1182440,817560,40.9,Mobile & Audio
2023-09-01,Smartphone,Bangalore,305,7625000,4542757,3082243,40.4,Mobile & Audio
2023-09-01,Smartphone,Mumbai,411,10275000,6310271,3964729,38.6,Mobile & Audio
2023-09-01,Headphones,Pune,214,749000,414506,334494,44.7,Mobile & Audio
2023-09-01,Headphones,Hyderabad,250,875000,529159,345841,39.5,Mobile & Audio
2023-09-01,Headphones,Delhi,485,1697500,994644,702856,41.4,Mobile & Audio
2023-09-01,Headphones,Bangalore,246,861000,521486,339514,39.4,Mobile & Audio
2023-09-01,Tablet,Bangalore,311,10885000,6208364,4676636,43.0,Mobile & Audio
2023-09-01,Tablet,Hyderabad,337,11795000,8272891,3522109,29.9,Mobile & Audio
2023-09-01,Tablet,Pune,50,1750000,1139094,610906,34.9,Mobile & Audio
2023-09-01,Tablet,Delhi,332,11620000,7732499,3887501,33.5,Mobile & Audio
2023-09-01,Smartwatch,Chennai,128,1920000,1313585,606415,31.6,Mobile & Audio
