Date,Weight_kg,Steps,Calories_Burned,Calories_Consumed,Water_Litres,Sleep_Hours,Workout,Workout_Type,Mood_Score,Stress_Level
2024-06-12,76.6,12044,2467,2165,2.7,6.4,No,Cycling,1,High
2024-06-13,76.7,13208,3003,2670,1.7,7.4,Yes,Gym,7,Low
2024-06-14,76.7,5428,2960,2793,2.8,5.3,Yes,Gym,10,Low
2024-06-15,76.8,7687,2896,2304,2.6,7.2,Yes,Yoga,7,High
2024-06-16,76.8,10955,2971,2568,2.9,8.2,Yes,Running,5,Medium
2024-06-17,76.7,5356,3066,2422,3.2,7.0,Yes,Cycling,6,High
2024-06-18,76.4,6892,1900,2573,1.6,6.3,Yes,Yoga,1,Medium
2024-06-19,76.6,7965,2436,2174,2.9,8.2,Yes,Rest,2,Low
2024-06-20,76.6,5201,2415,2507,2.4,5.6,Yes,Yoga,7,High
2024-06-21,76.5,13576,1982,1984,2.4,5.4,Yes,Running,7,High
2024-06-22,76.4,10937,2857,2365,2.7,7.9,Yes,Rest,3,Low
2024-06-23,76.7,8097,2837,2426,3.4,7.6,Yes,Rest,10,Low
2024-06-24,76.6,5846,2194,2011,2.8,8.1,Yes,Running,1,Medium
2024-06-25,76.4,3828,2538,2007,2.3,8.4,Yes,Yoga,8,High
2024-06-26,76.3,9503,3101,1853,2.6,7.4,No,Gym,4,Medium
2024-06-27,76.1,11008,3016,2513,2.2,6.3,Yes,Cycling,10,High
2024-06-28,75.8,8730,2505,1934,1.5,8.3,Yes,Rest,2,Medium
